#{"t_start": 1620262902.0600994, "env_id": null}
r,l,t
70.860001,5,29.862084
70.860001,5,65.374876
70.860001,5,107.095715
70.860001,5,158.074352
70.860001,5,215.905091
139.559998,5,390.864501
70.48,5,502.75388
144.82,5,626.158774
142.5,5,859.336231
127.940002,5,981.646029
70.860001,5,1046.237124
70.860001,5,1080.261779
70.48,5,1199.094131
154.82,5,1333.370607
154.82,5,1490.028283
50.860001,5,1530.416084
70.540001,5,1861.883036
149.659996,5,2035.567989
70.860001,5,2084.757608
70.48,5,2193.674215
70.860001,5,2249.483178
70.860001,5,2297.854055
124.040001,2,2387.79634
127.940002,5,2505.222069
60.860001,5,2539.1802
70.66,5,2578.97138
70.48,5,2684.489985
142.5,5,2909.028153
70.860001,5,2947.847778
70.860001,5,3017.925888
144.619995,5,3301.435218
70.860001,5,3359.626496
70.48,5,3465.400134
70.48,5,3726.153048
70.860001,5,3761.268867
70.860001,5,3806.751703
70.860001,5,3866.081646
70.860001,5,3900.312956
70.48,5,4011.249762
70.66,5,4050.606183
70.860001,5,4110.303138
142.5,5,4335.517586
70.48,5,4441.99296
70.860001,5,4488.299056
70.860001,5,4520.972278
70.860001,5,4568.730743
138.559998,5,4624.051707
150.459999,5,4657.505113
139.559998,5,4813.732332
127.940002,5,4926.099578
70.48,5,5033.335614
154.82,5,5148.438044
70.860001,5,5191.131915
127.940002,5,5299.436435
70.860001,5,5342.814585
152.659996,5,5511.407805
70.860001,5,5572.825907
70.48,5,5672.604141
70.860001,5,5727.677574
142.5,5,5936.994086
70.860001,5,5974.156615
70.860001,5,6011.872353
70.860001,5,6060.859593
113.959999,1,6086.719676
127.940002,5,6196.950255
70.860001,5,6228.724649
70.860001,5,6283.351584
70.860001,5,6339.295137
139.059998,5,6398.64456
148.479996,5,6705.375184
70.860001,5,6758.466563
70.860001,5,6790.83723
139.559998,5,6939.435504
153.940002,5,6967.982031
155.759995,5,7076.802734
70.860001,5,7129.1893
139.559998,5,7272.348583
137.739998,5,8009.96584
70.860001,5,8059.661971
148.599998,5,8245.1404
70.219999,5,8526.0287
70.860001,5,8560.738355
151.419998,5,8755.850587
70.860001,5,8807.963675
152.540001,5,9359.308698
60.08,4,9585.757216
70.860001,5,9626.231039
142.5,5,9825.077225
70.860001,5,9884.110421
142.5,5,10076.723607
70.48,5,10168.839397
70.48,5,10261.245075
142.5,5,10459.993417
70.860001,5,10500.704367
142.5,5,10695.251568
70.860001,5,10730.47774
127.940002,5,10833.607882
142.5,5,11027.670461
70.48,5,11126.85091
154.82,5,11267.600975
139.559998,5,11406.548573
70.860001,5,11452.499682
127.940002,5,11554.747645
70.48,5,11647.327955
70.48,5,11739.967627
142.5,5,11933.841092
70.48,5,12032.781509
154.82,5,12137.63254
154.82,5,12260.93238
154.82,5,12385.484965
154.82,5,12516.35129
70.48,5,12616.53799
70.48,5,12715.779975
154.040001,5,12808.629779
70.860001,5,12849.294247
70.860001,5,12907.227499
142.5,5,13104.825223
70.860001,5,13164.146432
154.82,5,13271.603213
70.540001,5,13547.687596
70.860001,5,13582.738717
70.860001,5,13629.16932
70.860001,5,13658.597906
70.48,5,13751.678481
154.82,5,13902.942404
154.82,5,14044.692665
70.860001,5,14101.409863
70.860001,5,14141.49781
70.860001,5,14176.284161
154.82,5,14282.073222
142.5,5,14474.328839
154.82,5,14615.27061
70.48,5,14708.173812
142.5,5,14901.882578
154.82,5,15029.495872
70.48,5,15131.073246
70.860001,5,15165.431909
70.860001,5,15200.124307
70.860001,5,15235.196599
70.540001,5,15508.658349
70.860001,5,15560.519784
154.82,5,15710.620252
70.860001,5,15765.68846
70.48,5,15864.322475
70.540001,5,16147.379166
127.940002,5,16252.537299
142.5,5,16444.822151
70.860001,5,16491.76412
70.860001,5,16532.42714
127.940002,5,16633.876029
149.659996,5,16779.779141
70.860001,5,16840.156014
70.540001,5,17118.616683
142.5,5,17311.529039
70.860001,5,17357.500514
70.860001,5,17409.636175
154.82,5,17550.130034
127.940002,5,17651.964431
70.860001,5,17708.604603
70.860001,5,17743.303367
70.860001,5,17783.500483
154.82,5,17892.05392
70.48,5,17990.611019
70.48,5,18084.895791
70.860001,5,18114.545804
154.82,5,18219.051259
70.860001,5,18276.718131
70.860001,5,18316.949749
70.48,5,18410.308782
70.860001,5,18467.069827
139.559998,5,18603.946347
70.860001,5,18632.838766
50.48,3,18785.178174
153.900002,5,18813.728986
154.82,5,18919.229165
139.559998,5,19057.98787
70.860001,5,19109.742096
70.48,5,19202.52397
70.860001,5,19243.611056
154.82,5,19367.488696
142.5,5,19560.348237
154.82,5,19701.148799
70.860001,5,19741.590172
70.860001,5,19793.246312
70.860001,5,19822.181286
70.860001,5,19851.060206
142.5,5,20047.529054
70.860001,5,20093.725236
142.5,5,20286.43819
70.48,5,20385.020123
70.860001,5,20425.250705
70.860001,5,20471.105897
135.380005,5,20733.874784
142.5,5,20926.310819
142.5,5,21123.754216
70.48,5,21223.449859
70.48,5,21321.652749
127.940002,5,21426.41829
70.860001,5,21478.467927
70.48,5,21570.960449
139.559998,5,21708.097356
70.860001,5,21749.513503
