#{"t_start": 1620351057.2785478, "env_id": null}
r,l,t
136.754166,5,7.824763
110.04583,5,9.320009
126.224998,5,16.148454
149.145828,5,41.340422
137.304169,5,53.377892
151.758331,5,145.208218
136.754166,5,156.525102
144.150002,5,180.107477
136.754166,5,191.443566
120.04583,5,193.605143
129.112503,5,199.89963
142.79583,5,231.449619
151.550003,5,258.983011
144.575005,5,302.340651
151.087502,5,345.530479
147.304169,5,367.932516
127.095833,5,372.005123
151.162498,5,453.37734
153.095833,5,715.277602
166.912498,5,866.640463
153.416664,5,894.199544
150.595833,5,928.484175
151.991669,5,948.627012
132.429169,5,958.527294
150.658333,5,1000.873206
152.691666,5,1153.596609
153.700005,5,1192.905395
137.199997,5,1200.635354
136.029167,5,1206.017724
153.10833,5,1279.626306
142.908333,5,1347.702981
153.024994,5,1380.464609
150.208328,5,1602.547782
149.275002,5,1620.472638
71.475,5,1688.276974
147.304169,5,1710.800507
136.224998,5,1723.53598
120.04583,5,1725.89307
144.150002,5,1760.426103
151.758331,5,1864.562469
136.754166,5,1881.241961
151.758331,5,1983.883012
136.224998,5,1996.406658
147.304169,5,2018.746285
136.754166,5,2035.006385
136.754166,5,2046.361249
131.479164,5,2050.716624
125.541664,5,2100.471128
126.224998,5,2112.954406
