#{"t_start": 1620262015.1218784, "env_id": null}
r,l,t
70.0,5,2.749936
70.68,5,7.79303
105.060001,5,18.639362
79.700001,5,24.825888
80.540001,5,29.902896
79.559999,5,34.891291
149.899994,5,60.447296
90.220001,5,71.033516
84.18,5,79.420312
83.299999,5,87.565976
100.120003,5,157.766599
110.739998,5,189.177929
132.199997,5,210.39748
134.220001,5,365.352783
121.959999,5,394.705188
116.039993,5,421.478566
138.860001,5,469.118219
133.720001,5,495.863667
134.940002,5,577.624096
114.099998,5,603.279879
80.299999,5,608.785874
120.459999,5,629.222231
81.48,5,638.46843
136.080002,5,664.43192
122.119995,5,684.955755
107.720001,5,703.425714
87.5,5,712.992059
70.0,5,718.34465
83.580002,5,726.96014
134.660004,5,786.987
111.18,5,800.020078
69.5,5,807.987557
122.039993,5,823.747477
88.220001,5,833.66924
80.42,5,841.010552
79.68,5,847.603775
117.800003,5,861.865194
86.34,5,871.062565
121.739998,5,887.128456
88.739998,5,897.469737
111.239998,5,910.61631
106.619999,5,923.175314
80.299999,5,928.684821
70.0,5,934.243026
85.84,5,943.583078
95.98,5,955.138108
80.299999,5,960.649489
90.799999,5,971.051741
80.42,5,977.658601
109.579998,5,991.287748
95.5,5,1002.669203
70.0,5,1008.27563
79.559999,5,1015.079018
86.059998,5,1025.056158
70.0,5,1030.955363
137.619995,5,1052.422666
70.0,5,1058.095112
79.700001,5,1063.61482
79.939999,5,1070.335632
119.459999,5,1085.618375
94.32,5,1095.968117
110.119999,5,1110.062087
83.079998,5,1118.951754
87.559998,5,1128.422106
79.700001,5,1134.213222
79.700001,5,1139.462983
87.0,5,1148.933832
103.099998,5,1160.635602
87.700001,5,1169.866042
79.559999,5,1175.241575
121.639999,5,1192.285602
126.239998,5,1209.86342
83.720001,5,1219.073524
79.139999,5,1224.958943
80.68,5,1230.746167
135.860001,5,1251.181481
80.42,5,1256.778389
130.520004,5,1275.732204
79.68,5,1281.830691
60.0,5,1287.536611
80.299999,5,1293.311341
124.059998,5,1310.14777
125.439995,5,1327.121287
88.099998,5,1337.254179
79.139999,5,1342.967177
79.24,5,1351.34365
99.459999,5,1363.232697
107.599998,5,1376.774228
126.799995,5,1395.079431
122.800003,5,1414.742824
138.900002,5,1435.193354
70.0,5,1440.839727
80.42,5,1446.654102
121.080002,5,1462.230265
70.0,5,1468.099427
94.439999,5,1479.652544
93.959999,5,1490.439787
104.82,5,1502.364458
144.259995,5,1525.67238
