#{"t_start": 1620349925.1555202, "env_id": null}
r,l,t
140.1875,5,5.807465
148.875,5,36.289392
120.10833,5,37.62698
145.804169,5,54.287745
139.60833,5,63.167122
130.491669,5,68.623159
140.25,5,74.404108
140.25,5,84.517587
138.737503,5,87.586172
145.954163,5,120.111491
120.10833,5,121.930088
139.60833,5,134.640233
142.974998,5,143.452171
100.10833,5,145.246926
130.17083,5,149.269186
140.1875,5,157.257993
140.291672,5,162.359758
120.10833,5,164.204176
140.349998,5,169.739012
119.837502,5,171.176877
148.875,5,207.665195
140.1875,5,215.559412
140.25,5,225.600285
140.25,5,235.707633
128.737503,5,240.842082
139.60833,5,253.77945
90.10833,5,255.603366
129.60833,5,268.357848
145.804169,5,292.630227
139.570831,5,303.394188
139.60833,5,316.223559
140.1875,5,324.256851
132.974998,5,339.591971
120.10833,5,341.47156
120.25,5,356.442405
120.10833,5,358.367416
120.10833,5,360.368304
140.25,5,375.11988
138.737503,5,380.341951
140.491669,5,391.019592
100.10833,5,393.375467
148.875,5,433.2209
120.10833,5,435.268808
135.804169,5,460.131675
120.10833,5,462.120134
140.1875,5,470.346176
120.10833,5,472.346577
135.954163,5,512.999947
120.25,5,528.049744
140.491669,5,538.94196
140.491669,5,549.851145
142.974998,5,566.567692
149.125,5,607.061672
135.804169,5,632.737065
145.954163,5,674.485787
140.25,5,689.969891
148.875,5,728.321858
140.1875,5,736.63705
140.291672,5,745.875829
139.60833,5,759.168048
139.60833,5,773.341205
140.491669,5,783.391779
140.1875,5,791.554464
145.804169,5,816.16518
140.25,5,826.517964
140.25,5,841.256162
145.804169,5,865.826313
140.1875,5,874.024448
140.491669,5,884.099938
145.804169,5,908.587217
139.60833,5,921.588327
139.60833,5,934.596284
140.25,5,944.956937
145.804169,5,969.59705
120.10833,5,971.716251
138.875,5,1008.933832
145.954163,5,1048.992513
148.875,5,1085.956623
145.954163,5,1126.294733
139.60833,5,1139.787025
139.60833,5,1156.876207
145.954163,5,1197.261481
140.491669,5,1207.423583
