#{"t_start": 1620256867.9554229, "env_id": null}
r,l,t
60.700001,5,8.917464
70.700001,5,24.792666
94.739998,5,33.980708
70.0,5,38.51737
70.0,5,43.373011
94.739998,5,55.224014
94.739998,5,67.375216
94.739998,5,79.04588
40.700001,5,98.474437
60.0,5,103.112977
127.099998,5,134.440922
64.739998,5,149.91606
60.700001,5,170.956691
70.700001,5,186.897708
132.579994,5,211.16959
70.700001,5,226.650168
70.0,5,231.553924
94.739998,5,246.742043
94.739998,5,261.923033
132.839996,5,292.805535
94.739998,5,308.527193
70.0,5,313.367312
94.739998,5,325.66153
94.739998,5,337.939146
70.52,5,350.5725
70.700001,5,371.561496
70.0,5,376.780593
70.0,5,381.855269
70.700001,5,397.534732
79.939999,5,402.462231
70.700001,5,418.588778
70.700001,5,439.186584
94.739998,5,455.420178
70.700001,5,477.450199
70.0,5,482.356965
97.32,5,542.408725
70.0,5,547.300681
70.0,5,552.748872
94.739998,5,568.458875
70.0,5,573.783987
94.739998,5,589.731446
94.739998,5,605.276854
70.48,5,632.973816
94.739998,5,648.729281
94.739998,5,664.509154
70.0,5,669.880612
