#{"t_start": 1620262301.9294343, "env_id": null}
r,l,t
129.399994,5,43.44382
119.0,5,63.641143
88.66,5,72.888221
40.42,5,78.398478
131.440002,5,137.40848
84.299999,5,147.966725
105.420002,5,166.470987
129.399994,5,213.826316
148.699997,5,265.741706
147.940002,5,296.637925
88.82,5,305.981002
88.82,5,315.609834
149.859993,5,418.584789
70.48,5,446.72471
142.479996,5,595.35041
148.239998,5,687.474572
70.42,5,693.609088
152.639999,5,822.689587
150.719994,5,924.629179
153.900002,5,1016.058117
154.540001,5,1132.977726
148.759995,5,1406.590335
70.719999,5,1438.240647
70.48,5,1602.410718
88.66,5,1614.866459
123.620003,2,1657.634851
153.159996,5,1734.60542
30.48,1,1766.938719
154.18,5,1858.721786
113.720001,1,1888.883026
152.400002,5,1952.872998
117.919998,5,1967.939661
124.459999,5,1985.950589
139.360001,5,2038.219302
113.559998,1,2065.051631
150.459999,5,2119.821903
109.399994,5,2165.960936
153.32,5,2327.611839
138.959999,5,2347.722975
141.760002,5,2390.339107
95.360001,5,2400.674501
70.48,5,2513.318327
80.42,5,2519.90762
140.5,5,2548.075701
127.379997,5,2566.187241
144.259995,5,2718.254736
117.119995,5,2730.607747
129.860001,5,2841.864488
126.32,5,2880.827493
129.119995,5,2900.284075
141.540001,5,2937.152042
134.199997,5,2959.143729
111.48,5,2970.646795
146.919998,5,3186.434701
149.599998,5,3221.088919
147.840004,5,3269.27474
139.339996,5,3294.312166
126.919998,5,3310.39345
151.399994,5,3385.057161
139.859993,5,3457.270101
143.619995,5,3479.581286
142.399994,5,3550.416367
143.859993,5,3747.205316
126.519997,2,3793.992563
96.099998,5,3804.506334
146.279999,5,3826.783995
70.360001,5,3834.026022
123.519997,2,3868.990171
88.66,5,3878.527776
114.18,1,3906.639571
154.580002,5,3970.667145
151.32,5,4033.165822
142.459999,5,4077.582956
141.659996,5,4122.497014
150.519997,5,4254.214468
153.360001,5,4310.621667
128.660004,5,4327.561821
133.199997,5,4348.387551
156.399994,5,4392.480386
152.599998,5,4580.577218
135.259995,3,4659.922672
130.139999,5,4780.986005
129.399994,5,4826.227471
151.579994,5,4851.16377
147.300003,5,5005.860927
138.759995,5,5026.885105
150.139999,5,5133.983723
145.799995,5,5230.62705
141.860001,5,5250.956718
135.580002,5,5269.129487
147.520004,5,5514.351704
70.66,5,5539.966354
146.559998,5,5608.467048
138.699997,5,5647.320763
140.639999,5,5693.150304
138.799995,5,5755.210297
126.799995,5,5775.428939
151.739998,5,5878.091962
151.18,5,5978.891625
120.080002,5,6035.773195
101.52,5,6045.958072
133.559998,5,6067.801728
126.400002,5,6083.949511
146.699997,5,6128.998713
137.339996,5,6154.368541
114.059998,5,6167.332376
129.399994,5,6209.773921
151.079994,5,6287.562551
134.82,5,6304.956685
130.279999,5,6322.183583
126.099998,5,6337.363608
147.660004,5,6359.620387
152.739998,5,6506.984558
130.539993,5,6523.58752
149.939995,5,6546.973896
147.139999,5,6568.481488
