#{"t_start": 1620350177.1193874, "env_id": null}
r,l,t
117.804161,5,12.074889
140.45417,5,51.638547
140.45417,5,103.238793
140.45417,5,153.052495
140.45417,5,214.164169
140.45417,5,265.850016
140.45417,5,327.419346
140.491669,5,400.546304
140.45417,5,473.037719
140.45417,5,544.821877
140.45417,5,603.94589
140.416664,5,693.865564
126.945839,3,747.927478
109.175003,4,852.716608
63.370834,4,921.265495
137.525002,5,932.281222
135.837502,4,1224.411638
116.104164,2,1292.67457
161.095833,5,1490.489858
115.550003,2,1513.088175
125.820831,4,1680.225698
103.279167,1,1697.616151
