#{"t_start": 1620262000.655445, "env_id": null}
r,l,t
83.059998,5,5.398913
93.580002,5,15.051076
119.019997,5,27.999374
83.059998,5,37.951947
82.98,5,46.364885
121.32,5,61.59538
86.139999,5,70.641096
121.639999,5,86.03612
129.979996,5,103.050869
126.259995,5,118.38913
153.959999,5,197.78091
146.159996,5,219.689698
146.739998,5,242.910491
144.0,5,264.843181
93.580002,5,279.089279
83.059998,5,289.2708
152.119995,5,318.008458
152.419998,5,346.565578
144.32,5,368.790107
144.219994,5,390.753289
93.580002,5,404.996603
141.779999,5,426.127729
147.959999,5,449.721174
93.580002,5,463.895483
146.339996,5,486.623549
143.759995,5,509.153569
152.739998,5,538.250096
149.739998,5,563.643162
146.699997,5,586.762925
153.019997,5,615.885502
152.199997,5,645.230898
148.860001,5,670.169266
149.779999,5,928.193974
149.159996,5,996.226721
143.719994,5,1019.733358
141.940002,5,1042.415653
138.68,5,1063.779368
152.599998,5,1094.665787
148.540001,5,1120.034293
148.860001,5,1144.526609
152.059998,5,1175.063961
153.459999,5,1208.327118
126.939995,2,1270.922924
142.900002,4,1458.852864
127.0,2,1512.950758
153.360001,5,1759.508499
152.479996,5,1790.370754
153.82,5,1823.503512
151.119995,5,1850.235548
150.779999,5,2164.386867
150.199997,5,2191.87849
156.979996,5,2250.23151
153.620003,5,2286.92832
153.959999,5,2322.80351
113.840004,1,2354.420079
141.879997,5,2375.126214
60.48,4,2537.190654
113.879997,1,2566.468063
153.760002,5,2598.89841
146.479996,5,2622.280146
151.5,5,2648.789541
83.059998,5,2659.180608
149.779999,5,2684.202968
150.239998,5,2708.925477
150.239998,5,2733.999634
122.699997,5,2749.741522
93.580002,5,2764.381696
141.419998,5,2786.71522
154.040001,5,2821.403432
153.419998,5,2852.930253
146.739998,5,2875.956068
150.899994,5,2902.179246
131.179993,5,2920.315638
147.639999,5,2944.03973
126.760002,5,2961.243487
144.079994,5,2983.628502
121.940002,5,3000.859391
138.759995,5,3020.446832
144.279999,5,3042.425134
130.5,5,3059.778048
130.679993,5,3077.386414
93.82,5,3087.620227
125.82,5,3104.016206
138.519997,5,3123.775297
130.559998,5,3141.83427
83.560001,5,3150.958749
87.760002,5,3161.245525
113.799999,5,3175.54224
135.160004,5,3194.97391
138.599998,5,3214.839372
107.239998,5,3226.858272
146.479996,5,3249.63342
140.739998,5,3269.345215
121.759995,5,3285.88312
117.479996,5,3299.255189
150.68,5,3324.567123
131.020004,5,3342.012618
110.16,5,3354.620957
139.379997,5,3375.828889
145.079994,5,3398.17724
135.260002,5,3417.764937
134.419998,5,3437.527776
154.18,5,3470.506582
141.340004,5,3490.856164
83.059998,5,3501.180862
93.419998,5,3511.552741
135.660004,5,3531.254396
119.279999,5,3546.583502
113.759998,5,3560.780443
130.959999,5,3578.623579
70.48,5,3598.868977
149.539993,5,3623.824642
149.159996,5,3648.954001
138.759995,5,3669.194879
116.479996,5,3683.454054
135.779999,5,3703.4921
125.080002,5,3719.383963
88.639999,5,3728.758679
141.959999,5,3749.4
141.900002,5,3770.180532
70.48,5,3787.433755
122.759995,5,3803.045358
89.68,5,3812.780256
119.199997,5,3827.058225
103.439999,5,3841.021354
70.540001,5,3854.905245
143.639999,5,3876.141652
117.300003,5,3890.579081
138.099998,5,3909.93161
142.32,5,3930.119642
70.0,5,3935.556239
70.6,5,3947.994923
87.239998,5,3957.016952
122.539993,5,3973.129065
129.679993,5,3990.139308
150.019997,5,4017.381347
135.300003,5,4037.381541
151.079994,5,4062.069865
126.259995,5,4086.000043
70.48,5,4101.968174
93.580002,5,4116.60265
109.019997,5,4138.000042
95.099998,5,4148.590264
146.980003,5,4172.051746
70.5,5,4186.874141
83.059998,5,4200.221919
121.32,5,4224.267836
73.059998,5,4235.511589
141.699997,5,4257.720324
121.32,5,4282.885095
131.879997,5,4301.320459
70.48,5,4318.229774
135.699997,5,4337.243392
93.580002,5,4351.916887
121.32,5,4375.479543
83.580002,5,4390.263199
121.32,5,4413.542729
135.200005,5,4432.168546
119.019997,5,4454.060433
73.059998,5,4468.013591
121.32,5,4491.730715
70.540001,5,4505.856204
119.019997,5,4527.757183
83.059998,5,4539.331002
129.979996,5,4566.682292
82.98,5,4579.07548
132.68,5,4597.156532
83.059998,5,4610.665715
86.139999,5,4623.94321
121.639999,5,4647.651302
153.959999,5,4731.309084
153.959999,5,4812.371465
126.259995,5,4836.070605
83.059998,5,4849.693893
83.059998,5,4861.152567
153.959999,5,4947.19466
146.159996,5,4985.238173
146.739998,5,5022.021243
119.019997,5,5042.701484
126.259995,5,5066.534103
126.259995,5,5090.379204
83.059998,5,5103.246857
82.98,5,5115.206009
144.32,5,5150.570141
83.059998,5,5161.283255
146.159996,5,5198.828795
70.48,5,5222.958693
121.32,5,5244.721256
83.059998,5,5255.767985
121.32,5,5278.576858
82.98,5,5290.330811
74.380001,5,5301.433211
121.639999,5,5324.81049
129.979996,5,5351.137559
126.259995,5,5377.244763
82.98,5,5389.277913
80.040001,5,5397.448714
129.979996,5,5425.361899
109.019997,5,5447.948519
79.139999,5,5454.225791
40.0,5,5460.384284
