#{"t_start": 1620351994.6543565, "env_id": null}
r,l,t
133.141663,5,6.72182
133.141663,5,13.957791
133.141663,5,23.403195
103.141663,5,35.091908
133.141663,5,44.550498
133.141663,5,56.343741
133.141663,5,70.921865
133.141663,5,80.533291
123.141663,5,97.082582
123.141663,5,104.326647
133.141663,5,115.94557
133.141663,5,129.733909
123.141663,5,143.488354
133.141663,5,155.213896
133.141663,5,171.150732
133.141663,5,189.260716
133.141663,5,205.195282
123.141663,5,221.174411
133.141663,5,239.316287
133.141663,5,259.762801
133.141663,5,277.917866
133.141663,5,291.725477
133.141663,5,305.534002
133.141663,5,319.382878
133.141663,5,339.897348
133.141663,5,353.739507
133.141663,5,372.086263
133.141663,5,392.894106
133.141663,5,413.568698
133.141663,5,434.921294
133.141663,5,451.583707
133.141663,5,474.737345
133.141663,5,495.730587
133.141663,5,510.154593
133.141663,5,526.86002
133.141663,5,549.841667
133.141663,5,563.856529
133.141663,5,579.813465
133.141663,5,598.06092
133.141663,5,614.075895
133.141663,5,630.11873
133.141663,5,646.153106
133.141663,5,660.074383
133.141663,5,678.432344
133.141663,5,699.019852
133.141663,5,708.609439
133.141663,5,724.685806
133.141663,5,740.882349
133.141663,5,761.335423
133.141663,5,777.446938
133.141663,5,798.141507
133.141663,5,818.873469
133.141663,5,835.102416
133.141663,5,855.821281
133.141663,5,876.383655
133.141663,5,899.282769
133.141663,5,917.795781
133.141663,5,934.053822
133.141663,5,945.978591
133.141663,5,965.378228
133.141663,5,981.827825
133.141663,5,1000.035661
133.141663,5,1016.060852
133.141663,5,1034.344562
133.141663,5,1043.949924
133.141663,5,1064.273549
133.141663,5,1080.307966
133.141663,5,1094.253897
133.141663,5,1110.283718
133.141663,5,1133.045652
133.141663,5,1149.099057
133.141663,5,1171.716441
