#{"t_start": 1620256871.054921, "env_id": null}
r,l,t
123.662498,5,3.112434
138.125,5,7.750719
119.662498,5,15.023412
138.125,5,23.065646
81.733334,5,50.913948
139.662498,5,64.614132
138.125,5,73.09982
129.662498,5,92.462644
119.662498,5,112.07346
139.662498,5,139.744887
138.125,5,151.84842
139.662498,5,165.892666
129.662498,5,186.509084
139.662498,6,213.522821
139.662498,5,234.279474
138.125,5,242.919395
139.662498,5,257.001152
71.733334,5,287.157222
131.616669,5,309.931987
142.199997,5,347.450933
139.662498,5,361.714622
138.125,5,373.340842
141.641663,5,391.231173
139.662498,5,410.941347
139.662498,5,424.484727
138.125,5,436.314542
128.125,5,448.284626
138.125,5,456.563854
139.662498,5,482.503891
123.662498,5,484.433665
129.662498,5,498.499823
123.662498,5,500.565246
138.125,5,512.902416
139.662498,5,540.070997
129.662498,5,567.288642
100.208336,5,594.591707
139.662498,5,621.780091
123.662498,5,623.872284
139.662498,5,657.763375
138.125,5,669.543916
139.662498,5,683.99114
